,0
CSIQ,electrical-products
DPW,electrical-products
EAF,electrical-products
EMR,electrical-products
ENS,electrical-products
ETN,electrical-products
GNRC,electrical-products
HUBB,electrical-products
ITGR,electrical-products
JKS,electrical-products
LFUS,electrical-products
LITE,electrical-products
OEG,electrical-products
PPSI,electrical-products
QS,electrical-products
ROK,electrical-products
SEDG,electrical-products
SPWR,electrical-products
SUNW,electrical-products
APH,electronic-components
BHE,electronic-components
CLS,electronic-components
CREE,electronic-components
FLEX,electronic-components
FSLR,electronic-components
GLW,electronic-components
JBL,electronic-components
KN,electronic-components
NSYS,electronic-components
NVT,electronic-components
OLED,electronic-components
PLUG,electronic-components
PLXS,electronic-components
SANM,electronic-components
TEL,electronic-components
TTMI,electronic-components
VICR,electronic-components
VSH,electronic-components
CAJ,electronic-equipment-instruments
CGNX,electronic-equipment-instruments
EMAN,electronic-equipment-instruments
FCEL,electronic-equipment-instruments
FTV,electronic-equipment-instruments
HOLI,electronic-equipment-instruments
IIVI,electronic-equipment-instruments
ITRI,electronic-equipment-instruments
KEYS,electronic-equipment-instruments
KODK,electronic-equipment-instruments
MKSI,electronic-equipment-instruments
MRCY,electronic-equipment-instruments
NOVT,electronic-equipment-instruments
POLA,electronic-equipment-instruments
ROP,electronic-equipment-instruments
ST,electronic-equipment-instruments
TRMB,electronic-equipment-instruments
VUZI,electronic-equipment-instruments
AEIS,electronic-production-equipment
BRKS,electronic-production-equipment
KLAC,electronic-production-equipment
LPL,electronic-production-equipment
LRCX,electronic-production-equipment
MICT,electronic-production-equipment
MVIS,electronic-production-equipment
SONO,electronic-production-equipment
TER,electronic-production-equipment
ARW,electronics-distributors
AVT,electronics-distributors
SNX,electronics-distributors
BBY,electronics-appliance-stores
GME,electronics-appliance-stores
ARLO,electronics-appliances
GPRO,electronics-appliances
HEAR,electronics-appliances
HELE,electronics-appliances
IRBT,electronics-appliances
ROKU,electronics-appliances
SONY,electronics-appliances
SPB,electronics-appliances
WHR,electronics-appliances
ACM,engineering-construction
AMRC,engineering-construction
DY,engineering-construction
EME,engineering-construction
EXPO,engineering-construction
FIX,engineering-construction
FLR,engineering-construction
GVA,engineering-construction
MTZ,engineering-construction
NFE,engineering-construction
PWR,engineering-construction
STN,engineering-construction
AQUA,environmental-services
CLH,environmental-services
CVA,environmental-services
CWST,environmental-services
ECOL,environmental-services
RSG,environmental-services
SRCL,environmental-services
TTEK,environmental-services
VTNR,environmental-services
WCN,environmental-services
WM,environmental-services
AER,finance-rental-leasing
AL,finance-rental-leasing
AXP,finance-rental-leasing
CACC,finance-rental-leasing
CAR,finance-rental-leasing
COOP,finance-rental-leasing
DFS,finance-rental-leasing
FCFS,finance-rental-leasing
GATX,finance-rental-leasing
GDOT,finance-rental-leasing
IX,finance-rental-leasing
LC,finance-rental-leasing
LX,finance-rental-leasing
MA,finance-rental-leasing
MGRC,finance-rental-leasing
NAVI,finance-rental-leasing
NNI,finance-rental-leasing
NYCB,savings-banks
OMF,finance-rental-leasing
PFSI,finance-rental-leasing
QFIN,finance-rental-leasing
SC,finance-rental-leasing
SLM,finance-rental-leasing
SYF,finance-rental-leasing
TREE,finance-rental-leasing
TRTN,finance-rental-leasing
UHAL,finance-rental-leasing
URI,finance-rental-leasing
WD,finance-rental-leasing
WU,finance-rental-leasing
BOWX,financial-conglomerates
MCO,financial-publishing-services
SPGI,financial-publishing-services
TRI,financial-publishing-services
CHEF,food-distributors
PFGC,food-distributors
SYY,food-distributors
UNFI,food-distributors
USFD,food-distributors
CBD,food-retail
KR,food-retail
SFM,food-retail
WMK,food-retail
WMT,food-retail
BGS,food-major-diversified
BYND,food-major-diversified
CAG,food-major-diversified
CPB,food-major-diversified
GIS,food-major-diversified
KHC,food-major-diversified
MDLZ,food-major-diversified
SMPL,food-major-diversified
THS,food-major-diversified
BRFS,food-meat-fish-dairy
HRL,food-meat-fish-dairy
LWAY,food-meat-fish-dairy
PLIN,food-meat-fish-dairy
PPC,food-meat-fish-dairy
SAFM,food-meat-fish-dairy
SEB,food-meat-fish-dairy
TSN,food-meat-fish-dairy
CALM,food-specialty-candy
CVGW,food-specialty-candy
FDP,food-specialty-candy
FLO,food-specialty-candy
FRPT,food-specialty-candy
HAIN,food-specialty-candy
HSY,food-specialty-candy
JJSF,food-specialty-candy
LANC,food-specialty-candy
LW,food-specialty-candy
MKC,food-specialty-candy
MKC.,food-specialty-candy
NOMD,food-specialty-candy
POST,food-specialty-candy
SJM,food-specialty-candy
TR,food-specialty-candy
JELD,forest-products
LPX,forest-products
TREX,forest-products
UFPI,forest-products
ATO,gas-distributors
CLNE,gas-distributors
CPK,gas-distributors
MDU,gas-distributors
NI,gas-distributors
NJR,gas-distributors
NWN,gas-distributors
OGS,gas-distributors
SJI,gas-distributors
SPH,gas-distributors
SR,gas-distributors
SRE,gas-distributors
SWX,gas-distributors
UGI,gas-distributors
ETH,home-furnishings
LEG,home-furnishings
LZB,home-furnishings
MHK,home-furnishings
SNBR,home-furnishings
TPX,home-furnishings
FND,home-improvement-chains
HD,home-improvement-chains
LOW,home-improvement-chains
CVCO,homebuilding
DHI,homebuilding
FTDR,homebuilding
KBH,homebuilding
LEN,homebuilding
LEN.,homebuilding
LGIH,homebuilding
MDC,homebuilding
MTH,homebuilding
NVR,homebuilding
PHM,homebuilding
TMHC,homebuilding
TOL,homebuilding
TPH,homebuilding
BKD,hospital-nursing-management
EHC,hospital-nursing-management
HCA,hospital-nursing-management
NHC,hospital-nursing-management
PINC,hospital-nursing-management
SEM,hospital-nursing-management
TDOC,hospital-nursing-management
THC,hospital-nursing-management
UHS,hospital-nursing-management
CCL,hotels-resorts-cruise-lines
CHH,hotels-resorts-cruise-lines
CUK,hotels-resorts-cruise-lines
