,Symbol,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type
74,CNOB,Boswell Stephen T.,Director,"Jun 15, 2021",$27.19,2200,59821,47214,"Jun 16, 2021, 12:49 PM",buy
75,FUNC,Rodeheaver Carissa Lynn,"Chairman, President & CEO","Jun 15, 2021",$19.08,209,3988,30790,"Jun 16, 2021, 12:28 PM",buy
76,TELA,"EW HEALTHCARE PARTNERS FUND 2, L.P.",See footnote 2,"Jun 14, 2021",$12.50,79970,999625,1784232,"Jun 16, 2021, 12:17 PM",buy
77,TPL,STAHL MURRAY,Director,"Jun 15, 2021",$1539.50,12,18474,228303,"Jun 16, 2021, 11:52 AM",buy
78,TPL,STAHL MURRAY,Director,"Jun 15, 2021",$1539.50,2,3079,102295,"Jun 16, 2021, 11:52 AM",buy
79,TPL,STAHL MURRAY,Director,"Jun 15, 2021",$1539.50,3,4619,1187,"Jun 16, 2021, 11:52 AM",buy
80,TPL,STAHL MURRAY,Director,"Jun 15, 2021",$1539.50,1,1540,42863,"Jun 16, 2021, 11:52 AM",buy
81,TPL,STAHL MURRAY,Director,"Jun 15, 2021",$1539.50,10,15395,878,"Jun 16, 2021, 11:52 AM",buy
82,TPL,STAHL MURRAY,Director,"Jun 15, 2021",$1539.50,1,1540,1341,"Jun 16, 2021, 11:52 AM",buy
83,VLY,WILLIAMS SIDNEY S,Director,"Jun 15, 2021",$13.81,174,2402,4616,"Jun 16, 2021, 11:16 AM",buy
84,CVV,ROSENBAUM LEONARD A,Director,"Jun 15, 2021",$4.27,5620,23992,751548,"Jun 16, 2021, 10:23 AM",buy
85,GLP,Global GP LLC,General Partner,"Jun 15, 2021",$26.40,5412,142877,121296,"Jun 16, 2021, 10:22 AM",buy
86,GLP,Global GP LLC,General Partner,"Jun 14, 2021",$26.62,25000,665500,115884,"Jun 16, 2021, 10:22 AM",buy
87,NYCB,Dahya Hanif,Director,"Jun 15, 2021",$11.91,20000,238194,171301,"Jun 15, 2021, 07:07 PM",buy
88,XPMIX,Long Robert W.,Pres. & Prin. Exec. Officer,"Jun 11, 2021",$35.77,6989,249997,21574,"Jun 15, 2021, 07:05 PM",buy
89,CORT,BAKER G LEONARD JR,Director,"Jun 11, 2021",$21.53,50000,1076500,1046838,"Jun 15, 2021, 07:01 PM",buy
90,CORT,BAKER G LEONARD JR,Director,"Jun 11, 2021",$21.53,100000,2153000,3308303,"Jun 15, 2021, 07:01 PM",buy
91,BATL,ROGERS WILLIAM D,Director,"Jun 15, 2021",$13.44,2000,26880,2000,"Jun 15, 2021, 07:00 PM",buy
92,XPMIX,SITTEMA THOMAS KENT,Director,"Jun 11, 2021",$35.77,6989,249997,23386,"Jun 15, 2021, 06:42 PM",buy
93,FWRD,Mayes George S JR,Director,"Jun 14, 2021",$91.53,500,45765,2177,"Jun 15, 2021, 06:26 PM",buy
94,AMHG,Pruitt Michael D,CEO,"Jun 15, 2021",$0.60,1000,600,34029,"Jun 15, 2021, 06:18 PM",buy
95,ONCT,Leavitt Chase C.,General Counsel/Secretary,"Jun 11, 2021",$5.45,1500,8175,1500,"Jun 15, 2021, 06:00 PM",buy
96,BGSF,Allen C. David JR,Director,"Jun 11, 2021",$12.18,3000,36540,27752,"Jun 15, 2021, 05:48 PM",buy
97,BGSF,Allen C. David JR,Director,"Jun 11, 2021",$12.16,10528,128020,24752,"Jun 15, 2021, 05:48 PM",buy
98,NWFL,Nolan Alexandra K,Director,"Jun 14, 2021",$25.40,5000,127000,156778,"Jun 15, 2021, 05:40 PM",buy
99,ASAN,Moskovitz Dustin A.,"President, CEO, & Chair","Jun 14, 2021",$47.10,160000,7536048,2030000,"Jun 15, 2021, 05:37 PM",buy
100,ASAN,Moskovitz Dustin A.,"President, CEO, & Chair","Jun 11, 2021",$45.70,160000,7311418,1870000,"Jun 15, 2021, 05:37 PM",buy
1,SAFE,ISTAR INC.,10% Owner,"Jun 15, 2021",$78.30,12771,999969,35200292,"Jun 15, 2021, 05:35 PM",buy
2,SAFE,ISTAR INC.,10% Owner,"Jun 14, 2021",$78.16,12793,999901,35200292,"Jun 15, 2021, 05:35 PM",buy
3,SAFE,ISTAR INC.,10% Owner,"Jun 11, 2021",$76.53,13066,999941,35200292,"Jun 15, 2021, 05:35 PM",buy
4,CLVT,ROEDEL RICHARD,Director,"Jun 11, 2021",$26.08,19193,500457,39395,"Jun 15, 2021, 05:08 PM",buy
5,MQ,"ICONIQ Strategic Partners III, L.P.",10% Owner,"Jun 11, 2021",$27.00,153051,4132377,153051,"Jun 15, 2021, 05:04 PM",buy
6,MQ,"ICONIQ Strategic Partners III, L.P.",10% Owner,"Jun 11, 2021",$27.00,143245,3867615,143245,"Jun 15, 2021, 05:04 PM",buy
7,GBDC,Golub David,Chief Executive Officer,"Jun 11, 2021",$15.54,5000,77686,2218401,"Jun 15, 2021, 04:48 PM",buy
8,GBDC,Golub David,Chief Executive Officer,"Jun 15, 2021",$15.66,5000,78281,2223401,"Jun 15, 2021, 04:48 PM",buy
9,ATRA,Yarema Kristin,Chief Commercial Officer,"Jun 11, 2021",$14.50,2021,29305,93549,"Jun 15, 2021, 04:02 PM",buy
10,ATRA,Yarema Kristin,Chief Commercial Officer,"Jun 14, 2021",$14.57,32333,471065,125882,"Jun 15, 2021, 04:02 PM",buy
11,HRTH,Linscott Brian,Chief Operating Officer,"Jun 11, 2021",$6.25,900,5625,111904,"Jun 15, 2021, 04:01 PM",buy
12,NKSH,Dooley John Elliott,Director,"Jun 15, 2021",$35.50,500,17750,8100,"Jun 15, 2021, 03:51 PM",buy
13,HVBC,Marino Robert Joseph,Director,"Jun 15, 2021",$20.98,194,4069,71072,"Jun 15, 2021, 02:39 PM",buy
